# A1 st 78 lk 5 cv 16 : Akuzatív
# singulár
To je pekná pieseň.  Čo spieva Adam?  Adam spieva peknú pieseň.
To je správna cesta.  Čo pozná šofér?  Šofér pozná správnu cestu.
To je štát.  Čo reprezentuje prezident?  Prezident reprezentuje štát.
To je matematika.  Čo učí profesor Novák?  Profesor Novák učí matematiku.
To je angličtina.  Čo sa učí mladý asistent?  Mladý asistent sa učí angličtinu.
To je medicína.  Čo študuje Denis v Nitre?  Denis študuje v Nitre medicínu.
To je ovocný jogurt.  Čo raňajkuje?  Raňajkuje ovocný jogurt.
To je čierny čaj.  Čo iba piješ ráno?  Ráno pijem iba čierny čaj.
To je zelenina a ovocie.  Čo máš rád?  Mám rád zeleninu a ovocie.
To je rýchle tango.  Čo tancujú manželia?  Manželia tancujú rýchle tango.
To je kvalitný počítač.  Čo kupuje klient?  Klient kupuje kvalitný počítač.
# plurál
To sú turistické informácie.  Čo hľadá turista?  Turista hľadá turistické informácie.
To sú zaujímavé knihy.  Čo číta mama?  Mama číta zaujímavé knihy.
To sú pomalé piesne.  Čo hrá kapela?  Kapela hrá pomalé piesne.
To sú svetlé pivá.  Čo kupuje brat?  Brat kupuje svetlé pivá.
To sú hlavné mestá.  Čo fotografuje?  Fotografuje hlavné mestá.
To sú bolonské špagety.  Čo varí kuchár?  Kuchár varí bolonské špagety.
To sú televízne seriály.  Čo pozerá otec?  Otec pozerá televízne seriály.
To sú rýchle autá.  Čo kontrolujú policajti?  Policajti kontrolujú rýchle autá.
To sú malé deti.  Čo hľadajú rodičia?  Rodičia hľadajú malé deti.
# majka says still errors here
#To sú dva dni a dve noci.  Na čo príde?  Príde na dva dni a dve noci.
#^^^^^                      ?????
