# A1 st 97 lk 6 cv 17 : Inštrumentál
# singulár
To je pero.  Čím píšeš?  Píšem perom.
To je ceruzka.  Nečím nepíšeš?  Nepíšem ceruzkou.
To je hrebeň.  Čím češe syna?  Češe syna hrebeňom.
To sú vlak a lietadlo.  Čím rád cestuješ?  Rád cestujem vlakom a lietadlom.
To sú profesorka a profesor.  S kým sa stretneš?  Stretnem sa s profesorkou a s profesorom.
To sú sestra a brat.  S Kým bývaš?  Bývam so sestrou a s bratom.
To je Jáv Vysoký.  S Kým pracuješ?  Pracujem s Jánom Vysokým.
# plurál
To sú zahraniční študenti.  S kým študuješ slovenčinu?  Študuješ slovenčinu so zahraničnými študentmi.
To sú kamarátky.  S kým sa rozprávaš?  Rozprávam s kamarátkami.
To sú kamaráti.  S kým sa rozprávaš?  Rozprávam s kamarátmi.
To sú japonskí turisti.  S kým hovoríš?  Hovorím s japonskými turistami.
To sú nové kolegyne.  S kým ideš na večeru?  Idem na večeru s novými kolegyňami.
To sú jej starí kolegovia.  S kým pozveš Janu?  Pozvem Janu s jej starými kolegami.
To sú zaujímavé miesta.  S čím je toto mapa?  Toto je mapa so zaujímavými miestami.
