# A1 st 132 lk 8 cv 25 : Lokál
#To je služobná cesta.  Kde je Carlo?  Carlo je na služobnej ceste.
#To je americká firma.  Kde pracuje?  Pracuje v americkej firme.
To je dlhá porada.  Kde sú kolegovia?  Kolegovia sú na dlhej porade.
#To je druhé poschodie.  Kde je porada?  Porada je na druhom poschodí.
#To je prenajatý byt.  Kde býva Róbert?  Róbert býva v prenajatom byte.
To je Hlavné námestie.  Kde je byt?  Byt je na Hlavnom námestí.
To je známa univerzita.  Kde učí profesor?  Profesor učí na známej univerzite.
#To je vysoká škola.  Kde študuje Denis?  Denis študuje na vysokej škole.
To je jazykový kurz.  Kde sa učí angličtinu?  Angličtinu sa učí v jazykovom kurze.
#To je moderný počítač.  Na čom píše Martin?  Martin píše na modernom počítači.
#To je veľká banka.  Kde pracuje brat?  Brat pracuje vo veľkej banke.
To je prázdny vlak.  Kde sedí?  Sedí v prázdnom vlaku.
#To je drahý bar.  Kde čaká na priateľov?  Čaká na priateľov v drahom bare
#To je Nové Anglicko.  Kde hrá kapela?  Kapela hrá v Novom Anglicku.
#To je veľká láska.  O čom spieva Adam?  Adam spieva o veľkej láske.
#To je hlavné mesto.  Kde fotografuje mosty?  Fotografuje mosty v hlavnom meste.
To je pokazený výťah.  Kde sa zoznámili?  Zoznámili sa v pokazenom výťahu.
#To je slovenská televízia.  Kde pozerá seriály?  Pozerá seriály v slovenskej televízii.
#Majka says this is error, but what?
#To je bratislavské letisko.  Kde číta mama?  Mama číta o bratislavskom letisku.
#                             ^^^
#To je malá kaviareň.  Kde raňajkuje?  Raňajkuje v malej kaviarni.
#To je paradajková polievka.  V čom máš rád syr?  Mám rád syr v paradajkovej polievke.
